COLUMN,EXISTS,NON_NULL_COUNT,FILL_RATE
DEPTH,True,18731,1.0
GR,True,18666,0.9965298168811062
VSH_GR_LINEAR,True,18666,0.9965298168811062
RHOB,True,7800,0.41642197426725747
RHOB_KG_M3,True,7800,0.41642197426725747
DTC,True,18199,0.9715978858576692
DTS,True,15252,0.8142651219902834
VP_MPS,True,18199,0.9715978858576692
VS_MPS,True,15252,0.8142651219902834
AI,True,7642,0.4079867599167156
SI,True,7602,0.4058512626127809
VP_VS_RATIO,True,15252,0.8142651219902834
POISSON_RATIO,True,15252,0.8142651219902834
SHEAR_MODULUS_PA,True,7602,0.4058512626127809
BULK_MODULUS_PA,True,7602,0.4058512626127809
YOUNG_MODULUS_PA,True,7602,0.4058512626127809
RDEP,True,18567,0.9912444610538679
RMED,True,18524,0.9889488014521381
RSHA,False,0,0.0
NPOR,True,7835,0.4182905344082003
CALI,True,7842,0.4186642464363889
BS,True,18674,0.9969569163418931
DCALC,True,7842,0.4186642464363889
QC_FLAG_COUNT,True,18731,1.0
FEATURE_QC_FLAG_COUNT,True,18731,1.0
