DEPTH_INTERVAL,DEPTH_MIN,DEPTH_MAX,N_SAMPLES,CLEANNESS_SCORE_MEDIAN,STIFFNESS_SCORE_MEDIAN,RESERVOIR_QUALITY_SCORE_MEDIAN,HOMOGENEITY_SCORE_MEDIAN,ANOMALY_SCORE_MEDIAN,VSH_MEDIAN,AI_MEDIAN,VP_MEDIAN,VS_MEDIAN,YOUNG_MEDIAN,FENICS_CANDIDATE_SCORE
"(3150.0, 3200.0]",3150.1124,3199.9684,329,0.9202876199505224,0.2832600940271651,0.874254352268121,0.44054422468414867,0.4104643388292458,0.07971122346966218,7344412.023869953,3302.542051677885,1828.4805591040788,18923656875.89394,0.6724170595466175
"(2350.0, 2400.0]",2350.1364,2399.9924,329,0.4018930251193562,0.40759279526701275,0.46101574742548934,0.8812114516337551,0.19563896891733423,0.5980919383534059,8275087.69865733,3451.5216779437005,1812.361919401577,20635800123.094654,0.6678848922838977
"(2200.0, 2250.0]",2200.1124,2249.9684,329,0.8864703587577728,0.21949486693216783,0.8467092036935465,0.44024537465305214,0.38385137163315936,0.11352757920966984,7086540.043496251,3130.119302706338,1695.1068291535573,16719823953.455042,0.6642989217236661
"(2400.0, 2450.0]",2400.1444,2449.8484,328,0.39012217321681664,0.37107130942424643,0.4564714273784132,0.8746907001914646,0.23219742267747695,0.6098624750929265,8019053.493516995,3339.112434922163,1799.184641954445,20085974105.465508,0.6551620147275636
"(2450.0, 2500.0]",2450.0004,2499.8564,329,0.3457414042534478,0.4474463563059816,0.40591452780197596,0.8912492689305846,0.1910784233733992,0.6542420557670154,8408593.563393535,3496.300082145901,1887.347158394824,22014798386.99128,0.6473571284296347
"(3000.0, 3050.0]",3000.0884,3049.9444,329,0.8179104626203374,0.6228241909956862,0.7,0.5366195846893935,0.39250449529773507,0.18208563966486013,9025910.401416808,3758.941607182628,2157.679613606382,27921597458.96694,0.6420025249747913
"(2000.0, 2050.0]",2000.0804,2049.9364,329,1.0,0.7161864586960256,0.7529431673962561,0.4509163662978014,0.46793908053841865,0.0,10231529.614196464,3973.298105053459,2093.456527233334,26711886365.86669,0.6401158623154236
"(2650.0, 2700.0]",2650.0324,2699.8884,329,0.333095028109861,0.5473795341038779,0.36814724992366904,0.8983529611926073,0.2191207583727259,0.6668880933055363,8837321.350798624,3596.343626517163,1983.8408428453731,24847352786.49716,0.6310078139364472
"(2500.0, 2550.0]",2500.0084,2549.8644,329,0.38884861818004945,0.5372242342540096,0.41119608047858425,0.8541412030401546,0.24974467214594384,0.6111359960304242,8847097.21606648,3676.7131184516807,1991.4339333097416,24409661800.4274,0.630686603505448
"(3050.0, 3100.0]",3050.0964,3099.9524,329,0.8031538056402677,0.6491819904436633,0.6408513576416192,0.4956929679761316,0.3941022564147905,0.19684190153737074,9211849.21936998,3720.8944956638197,2135.2411147405737,28383495014.092182,0.6074005656472139
"(2600.0, 2650.0]",2600.0244,2649.8804,329,0.3840720572301808,0.5894064284589573,0.3977765546245976,0.7038997651882946,0.3000157541924188,0.6159124290884987,9033765.563023468,3693.2052577751915,2059.0397683050965,26055544861.394608,0.5633055419493257
"(2250.0, 2300.0]",2250.1204,2299.9764,329,0.6480534504231963,0.4240450037495628,0.6228555512057188,0.3993470458460441,0.3077241593175811,0.35193810396273273,8287971.389953389,3521.2902401417728,1831.2663527102334,21111557096.602924,0.5622913171077943
"(2700.0, 2750.0]",2700.0404,2749.8964,329,0.3569472150960411,0.6156293611512382,0.3608950811532867,0.7416654298372957,0.33501898330433993,0.6430365449585407,9083690.466022532,3681.711909717819,2080.426246651767,27052599461.231113,0.5543897103925777
"(2850.0, 2900.0]",2850.0644,2899.9204,329,0.23131491700460838,0.749421009945582,0.23213535579068717,0.8292891705424352,0.3286918657922007,0.7686654792616363,9837661.965565922,3847.8989659793356,2150.3420944069176,30201329143.989346,0.5288506808193095
"(2750.0, 2800.0]",2750.0484,2799.9044,329,0.3351505318758906,0.6667612663902681,0.331268227424663,0.6518794852693348,0.34394578108978596,0.664832644575351,9418077.986502063,3743.8898749025975,2090.6449909413436,28038133114.68554,0.5090217116350925
"(2300.0, 2350.0]",2300.1284,2349.9844,329,0.32193810999774797,0.4330997509064666,0.4011886106894801,0.5245576688679259,0.22814377821280696,0.6780447126926272,8397728.71416647,3474.6368506892936,1844.4303766716664,21384901680.452347,0.5066137281677189
"(2800.0, 2850.0]",2800.0564,2849.9124,329,0.13630132947675921,0.5805884813866538,0.23549633974995132,0.7673491238521599,0.27873800050422476,0.863676522813116,9093681.619908197,3590.100135413966,1977.4225423629412,25360791440.190273,0.5039186945939103
"(2900.0, 2950.0]",2900.0724,2949.9284,329,0.4862955517038914,0.7630381260072411,0.413009041837837,0.523452651308936,0.4337579550708779,0.5136916716354724,9830869.60822538,3924.9112760890403,2215.489370055835,31051786469.865135,0.49330388225088684
"(2050.0, 2100.0]",2050.0884,2099.9444,329,0.0,0.0,0.3,0.9392708441663549,0.6542878979813269,1.0,5424790.748253066,2395.0717717052994,1359.2769584660446,10625113907.060972,0.4878872158619588
"(2550.0, 2600.0]",2550.0164,2599.8724,329,0.4472640392068048,0.5604563558866709,0.443096009721168,0.3556470782319853,0.3465361229624598,0.5527221390689208,8931113.869998336,3688.665252532298,2006.0981030521546,25078751447.952374,0.45518766158607404
"(3100.0, 3150.0]",3100.1044,3149.9604,329,0.4422554531009967,0.8024772852982385,0.359982281496047,0.4706738924290903,0.4376449553513591,0.5577305910704915,10041844.937376333,3995.406977873651,2215.333592991363,31314053355.235123,0.45153987369387333
"(2100.0, 2150.0]",2100.0964,2149.9524,329,0.0,0.09590675848143727,0.27321582860003923,0.8211100216305873,0.6873129457406062,1.0,6083036.154652005,2669.1514320435854,1740.151481013518,15961087089.328053,0.4318906670025961
"(2150.0, 2200.0]",2150.1044,2199.9604,329,0.0,0.2974299493024037,0.22503265551880508,0.6160088075443914,0.4033819812652018,1.0,7478701.748403874,3132.1770184161496,1772.295374668055,18850876569.397762,0.4024364830431381
"(2950.0, 3000.0]",2950.0804,2999.9364,329,0.42392001126061163,0.6005238769264116,0.412241255998288,0.09064000036563952,0.5138449533538486,0.5760655419818212,9181763.589320056,3696.060323039075,2045.9946367968678,26632419419.532104,0.31621538794578224
"(349.999, 400.0]",372.0084,399.9764,185,0.6671440982956799,,,0.875781106886716,0.052545378825474054,0.3328479672398471,,,,,
"(400.0, 450.0]",400.1284,449.9844,329,0.7405139957060425,,,0.6327231197328378,0.4855802393786197,0.25948003429888417,,1853.017967768987,747.3811579586674,,
"(450.0, 500.0]",450.1364,499.9924,329,0.5167382101825817,,,0.5179271113440193,0.39114923024741716,0.4832498282549781,,1930.4457946850582,766.7810326660921,,
"(500.0, 550.0]",500.1444,549.8484,328,0.4714638333744556,,,0.3775812231964838,0.31996496993913986,0.5285229928475912,,1934.0758929668086,808.2760466213051,,
"(550.0, 600.0]",550.0004,599.8564,329,0.3968609016160325,,,0.8017514316024847,0.22604822953299558,0.6031239271222815,,1965.2927222605902,809.5341279853309,,
"(600.0, 650.0]",600.0084,649.8644,329,0.3846708256774063,,,0.83743132470375,0.17736797501520535,0.61531367667322,,2053.216824482318,860.1373748355279,,
"(650.0, 700.0]",650.0164,699.8724,329,0.3638237712296374,,,0.6616738798288164,0.16241432522311575,0.6361601729438348,,2128.5157068235517,937.74453901115,,
"(700.0, 750.0]",700.0244,749.8804,329,0.32416315957384145,,,0.6867170949912428,0.09158599630703596,0.6758197226919449,,2106.175052991155,974.5802406260946,,
"(750.0, 800.0]",750.0324,799.8884,329,0.33994335850656154,,,0.555758514331598,0.1452469903466011,0.6600399462719857,,2253.704360731534,1034.288913873206,,
"(800.0, 850.0]",800.0404,849.8964,329,0.7568910494750067,,,0.8539771141646653,0.2991002763789217,0.24310341902339086,,1983.7224386185392,780.2477684775589,,
"(850.0, 900.0]",850.0484,899.9044,329,0.8316079366871187,,,0.8978503108920812,0.5266923399306327,0.16838853234615403,,1906.8663567687065,727.5746483047678,,
"(900.0, 950.0]",900.0564,949.9124,329,0.71928125324586,,,0.5048846371970651,0.5608381083358913,0.2807122082551664,,1902.2329369506003,731.7804370015351,,
"(950.0, 1000.0]",950.0644,999.9204,329,0.616785356447073,,,0.7020439239808947,0.3185617183937911,0.3832053607397326,,1924.9243222428597,766.5638128019341,,
"(1000.0, 1050.0]",1000.0724,1049.9284,329,0.545139429925924,,,0.7659350437941039,0.22983499094838172,0.45484936895057687,,1967.3337879663572,810.4157763009346,,
"(1050.0, 1100.0]",1050.0804,1099.9364,329,0.4579823579904544,,,0.7340753483163083,0.28870866559339525,0.5420041072668537,,2157.1348427327794,863.8770093893918,,
"(1100.0, 1150.0]",1100.0884,1149.9444,329,0.28646725087560665,,,0.6467553564045531,0.3911110662557693,0.7135146220871584,,2190.4281337463817,854.4062028450618,,
"(1150.0, 1200.0]",1150.0964,1199.9524,329,0.16021714397791198,,,0.5993740491381789,0.4886463128969088,0.8397613486547661,,2217.70554199604,806.534914491183,,
"(1200.0, 1250.0]",1200.1044,1249.9604,329,0.2422952088657635,,,0.7308131702794607,0.3387594570570327,0.7576854813963586,,2160.173502788469,844.4832408677302,,
"(1250.0, 1300.0]",1250.1124,1299.9684,329,0.2620320827704219,,,0.7718258592537061,0.3737437411515916,0.7379491359439155,,2144.843409446526,821.2409102978697,,
"(1300.0, 1350.0]",1300.1204,1349.9764,329,0.7146704108840918,,,0.6474141236054509,0.5503038638879714,0.28532292716223395,,1956.640749074346,744.3708281482342,,
"(1350.0, 1400.0]",1350.1284,1399.9844,329,0.7000911933531142,,,0.6826834004327065,0.5597838859578027,0.29990175433657035,,1960.078801992104,738.295264994955,,
"(1400.0, 1450.0]",1400.1364,1449.9924,329,0.48288703026402846,,,0.653127760067994,0.5586838218919217,0.5171001018126199,,1989.945240855955,742.2308661592289,,
