,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max,range,iqr,cv,skew,kurtosis
GR,18666.0,88.05974101258312,28.029797010654736,9.3974046707,21.34094047525,45.7006235125,55.09403038,72.368659973,89.986179352,100.472011565,112.04354477,125.4410133325,189.59199829299996,243.85102844,234.45362376929998,28.103351591999996,0.3183043316769405,0.8952197043522853,3.6619154070638156
VSH_GR_LINEAR,18666.0,0.5141771492881039,0.26105243856770055,0.0,0.0,9.77708726735209e-07,0.11779986138397333,0.33443574229695183,0.5553716998307496,0.6868713355444692,0.8319864175138539,0.9999742028396194,1.0,1.0,1.0,0.3524355932475174,0.5077091405737044,-0.23835653645408952,-0.5621512716791406
RHOB,7800.0,2.423468665908641,0.14066089019428227,1.2595705986,2.131731121515,2.211360645285,2.26023411753,2.35655725005,2.4326741695500003,2.5183486938749997,2.5675220251,2.59469747539,2.6591341042850005,3.2098860741,1.9503154754999998,0.16179144382499988,0.058041142504949086,-2.277242757332621,14.566817282395228
DTC,18199.0,113.93060391840189,33.93053006448497,51.216693878,58.560823745380006,68.9773132323,75.3397918702,83.164451599,103.83011627,148.459098815,157.337512204,160.121806336,173.77229552880002,183.87193298,132.655239102,65.294647216,0.2978175213464708,0.1288795573473494,-1.5470583138689817
DTS,15252.0,265.4175203850253,112.63380858002839,86.628219604,116.4738999956,133.74771118249998,140.74306487799998,154.37800598,245.87908173,378.43323517,407.47252197700004,417.2162521355,428.7299093598,448.59338379,361.96516418600004,224.05522918999998,0.4243646328118704,0.08772430535068519,-1.7796929848379752
VP_MPS,18199.0,2937.2767463973364,903.956623974836,1657.6755084918452,1754.01952973811,1903.5508466107185,1937.236681688889,2053.090732991066,2935.5644677060513,3665.02747490883,4045.6708559922663,4418.844193928845,5204.844834606548,5951.184602544719,4293.509094052874,1611.9367419177638,0.30775330417318275,0.42240260332783663,-0.8723904571601722
VS_MPS,15252.0,1401.4895143562928,611.7035598550056,679.4571899943268,710.9371043323068,730.5563924080399,748.0259000602472,805.4260875461488,1239.6338648051674,1974.3745128188011,2165.648447937697,2278.9175065973386,2616.8953918468533,3518.4839466090802,2839.0267566147536,1168.9484252726525,0.43646674027094834,0.2717991050062196,-1.4335645637097019
AI,7642.0,8733801.324904548,1556381.5316694144,2926859.008373156,5275753.842900475,5663957.122957124,6701059.404386441,7975190.295509546,8784306.556835003,9635205.994697014,10483598.445535075,11051305.640737178,13015204.97003711,15928885.248677002,13002026.240303846,1660015.6991874678,0.17820207648087577,-0.04125296794706489,1.3732348204741585
SI,7602.0,4820689.041726181,845084.750142142,1742690.391853521,2900267.824771904,3399278.6916305423,3878868.886036869,4326002.453884769,4788368.852271895,5322273.591021568,5799944.0791172655,6058803.215207478,7395843.496892311,9447535.209435724,7704844.817582203,996271.1371367984,0.17530372584238205,0.44959188889907103,2.1697076291748214
VP_VS_RATIO,15252.0,2.166400072482342,0.38632042826424146,1.225782946623844,1.5614460628650964,1.7084944588699293,1.7471198823637364,1.8095568115914715,2.1029399791268695,2.535416242677947,2.653968103534332,2.7051293321113077,2.810769517297394,5.084796114602544,3.8590131679787003,0.7258594310864757,0.17832367768598767,0.49955787379295846,0.8903341108757625
POISSON_RATIO,15252.0,0.3402460837250362,0.07206489307590544,-0.49493808883789076,0.15232235836834232,0.2394412814626079,0.2563860787712035,0.2801710655800582,0.3539018197737236,0.4078907341244967,0.41726712386905634,0.420857583463958,0.42754069667361533,0.47988344591440935,0.9748215347523002,0.1277196685444385,0.21180227054176295,-0.8363357717188348,2.464984293677241
SHEAR_MODULUS_PA,7602.0,9758011132.967716,3111082719.000129,2411115188.9653034,3853279926.3714337,5286051451.313241,6631711615.44321,7824359820.034556,9436047106.087494,11299011931.01685,13176335378.549246,14462355978.478899,20629953336.937363,33241000969.42365,30829885780.458344,3474652110.982293,0.31882344430713433,1.4942280650409492,6.307598590392379
BULK_MODULUS_PA,7602.0,19137770711.324673,6242570210.571744,1173468737.118097,6029428304.345677,7769480137.220916,11674843610.651413,16043230471.976421,18976142797.645233,21816562912.327908,26752645908.669476,29916954855.276833,38611229362.48905,53336996825.52047,52163528088.402374,5773332440.351486,0.32619108592819207,0.6622473836721823,2.353001326274777
YOUNG_MODULUS_PA,7602.0,24888366768.890305,7760928306.315333,5949705381.250784,9726742503.821413,12795919319.27603,16504475899.280584,20294130152.74826,24337938875.094208,28708587946.704758,33412538470.226143,36676631940.69594,52051911937.23947,80453917929.09024,74504212547.83946,8414457793.956497,0.3118295538788128,1.2739198101044422,5.176798752824324
RDEP,18567.0,2.6202700563010555,10.496727424844487,0.1960632205,0.5245926535300001,0.63757154348,0.69941077232,0.9623087942999999,1.4293762445,3.23790311815,5.035822010000002,5.87905635833,10.93595058448,1122.036377,1121.8403137794999,2.27559432385,4.0059715980811355,78.77386483312016,7568.891966601491
NPOR,7835.0,0.2825030829019783,0.07975151742799513,0.0052460167,0.085164235872,0.12607660439,0.18410496414,0.239416562,0.2898687422,0.32747693359999996,0.36406839494000004,0.39741855561999995,0.45954921780799995,0.9062569141,0.9010108974,0.08806037159999996,0.2823031756282354,0.3073415852149252,4.044218530600273
DCALC,7842.0,0.1260503856710023,0.2607264266867113,-0.7869129180000005,-0.08543090822199959,-0.056135129964999565,-0.040654373180000467,-0.014911651600000297,0.035200119050000644,0.13945794104999987,0.4343829154800004,0.7727024078499992,1.1662129592890003,3.50242424,4.289337158,0.15436959265000016,2.068430217795764,2.7786997145744587,11.605570695835544
