,GR,VSH_GR_LINEAR,RHOB,DTC,DTS,VP_MPS,VS_MPS,AI,SI,VP_VS_RATIO,POISSON_RATIO,SHEAR_MODULUS_PA,BULK_MODULUS_PA,YOUNG_MODULUS_PA,RDEP,NPOR,DCALC
GR,1.0,0.9998747108235111,0.015006312998638076,-0.10104382905867192,-0.15741198146189866,0.10104382905867192,0.15741198146189866,-0.22805777938184907,-0.22147866279023729,-0.15766011436910576,-0.15766011436910576,-0.2538539943994819,-0.23452037394596065,-0.26504596641282707,0.29903350086256614,0.6751909035805023,0.23191110624084035
VSH_GR_LINEAR,0.9998747108235111,1.0,0.02652005565875835,-0.10185366389743848,-0.15803458407634796,0.10185366389743848,0.15803458407634796,-0.21945334039372577,-0.213872897321365,-0.15615426672344895,-0.15615426672344895,-0.24734242775143786,-0.22613403233402785,-0.25792668797239005,0.3011282495782236,0.6720253881936004,0.2326901603934575
RHOB,0.015006312998638076,0.02652005565875835,1.0,-0.7298886218854902,-0.6575168523008963,0.7298886218854902,0.6575168523008963,0.8641591652982681,0.8216310172574448,0.05930672444755908,0.05930672444755908,0.7566700708103455,0.7862716210814868,0.7824140866181041,0.7208389710719149,-0.3775930592819053,-0.15098885447602536
DTC,-0.10104382905867192,-0.10185366389743848,-0.7298886218854902,1.0,0.9470733325193477,-1.0,-0.9470733325193477,-0.969406656514437,-0.8989600762119058,0.7297036511603551,0.7297036511603551,-0.896574546794445,-0.9574909013905702,-0.9312676733222321,-0.40624047020014525,0.5900621540302081,0.1243835946748865
DTS,-0.15741198146189866,-0.15803458407634796,-0.6575168523008963,0.9470733325193477,1.0,-0.9470733325193477,-1.0,-0.8510564265266732,-0.9638918477476629,0.8708476935236661,0.8708476935236661,-0.9872092783645906,-0.7421444566905497,-0.9732380396247562,-0.6549346935395304,0.5521555162179685,0.1545603347070894
VP_MPS,0.10104382905867192,0.10185366389743848,0.7298886218854902,-1.0,-0.9470733325193477,1.0,0.9470733325193477,0.969406656514437,0.8989600762119058,-0.7297036511603551,-0.7297036511603551,0.896574546794445,0.9574909013905702,0.9312676733222321,0.40624047020014525,-0.5900621540302081,-0.1243835946748865
VS_MPS,0.15741198146189866,0.15803458407634796,0.6575168523008963,-0.9470733325193477,-1.0,0.9470733325193477,1.0,0.8510564265266732,0.9638918477476629,-0.8708476935236661,-0.8708476935236661,0.9872092783645906,0.7421444566905497,0.9732380396247562,0.6549346935395304,-0.5521555162179685,-0.1545603347070894
AI,-0.22805777938184907,-0.21945334039372577,0.8641591652982681,-0.969406656514437,-0.8510564265266732,0.969406656514437,0.8510564265266732,1.0,0.9283835783702129,0.0829027469266157,0.0829027469266157,0.9026696876513651,0.9642901612372394,0.937920249582083,0.6359522221076799,-0.555484569112019,-0.15616222111659658
SI,-0.22147866279023729,-0.213872897321365,0.8216310172574448,-0.8989600762119058,-0.9638918477476629,0.8989600762119058,0.9638918477476629,0.9283835783702129,1.0,-0.21002481652357027,-0.21002481652357027,0.99338833290231,0.8190887135440279,0.9930843756764681,0.6125833440066382,-0.5493853385345646,-0.17054363289071764
VP_VS_RATIO,-0.15766011436910576,-0.15615426672344895,0.05930672444755908,0.7297036511603551,0.8708476935236661,-0.7297036511603551,-0.8708476935236661,0.0829027469266157,-0.21002481652357027,1.0,1.0,-0.25502402834141064,0.2800542688447022,-0.17448590964673208,-0.5344033914967631,0.014486436722674169,0.052915374276169845
