PROPERTY,EXISTS,NON_NULL_COUNT,FILL_RATE,MIN,MAX
DEPTH,True,18731,1.0,372.0084,3218.9684
RHOB_KG_M3,True,7800,0.41642197426725747,1259.5705986,3209.8860741
VP_MPS,True,18199,0.9715978858576692,1657.6755084918452,5951.184602544719
VS_MPS,True,15252,0.8142651219902834,679.4571899943268,3518.4839466090802
POISSON_RATIO,True,15252,0.8142651219902834,-0.49493808883789076,0.47988344591440935
SHEAR_MODULUS_PA,True,7602,0.4058512626127809,2411115188.9653034,33241000969.42365
BULK_MODULUS_PA,True,7602,0.4058512626127809,1173468737.118097,53336996825.52047
YOUNG_MODULUS_PA,True,7602,0.4058512626127809,5949705381.250784,80453917929.09024
AI,True,7642,0.4079867599167156,2926859.008373156,15928885.248677002
SI,True,7602,0.4058512626127809,1742690.391853521,9447535.209435724
VSH_GR_LINEAR,True,18666,0.9965298168811062,0.0,1.0
HOMOGENEITY_SCORE,True,18710,0.9988788639154343,0.0,1.0
ANOMALY_SCORE,True,18731,1.0,0.0,1.0
RESERVOIR_QUALITY_SCORE,True,7642,0.4079867599167156,0.005497208347657467,1.0
