DEPTH_INTERVAL,DEPTH_MIN,DEPTH_MAX,N_SAMPLES,RHOB_FILL,VP_FILL,VS_FILL,E_FILL,HOMOGENEITY_MEDIAN,ANOMALY_MEDIAN,QUALITY_MEDIAN,VSH_MEDIAN,AI_MEDIAN,VP_MEDIAN,VS_MEDIAN,E_MEDIAN,NU_MEDIAN,ELASTIC_FILL_SCORE,PHYSICS_READY_SCORE
"(2350.0, 2400.0]",2350.1364,2399.9924,329,1.0,1.0,1.0,1.0,0.8812114516337551,0.19563896891733423,0.46101574742548934,0.5980919383534059,8275087.69865733,3451.5216779437005,1812.361919401577,20635800123.094654,0.3055321330365302,1.0,0.7905182374034547
"(2450.0, 2500.0]",2450.0004,2499.8564,329,1.0,1.0,1.0,1.0,0.8912492689305846,0.1910784233733992,0.40591452780197596,0.6542420557670154,8408593.563393535,3496.300082145901,1887.347158394824,22014798386.99128,0.299453580143181,1.0,0.7800596061515613
"(2400.0, 2450.0]",2400.1444,2449.8484,328,1.0,1.0,1.0,1.0,0.8746907001914646,0.23219742267747695,0.4564714273784132,0.6098624750929265,8019053.493516995,3339.112434922163,1799.184641954445,20085974105.465508,0.29619795682764943,1.0,0.77971765710984
"(2650.0, 2700.0]",2650.0324,2699.8884,329,1.0,1.0,1.0,1.0,0.8983529611926073,0.2191207583727259,0.36814724992366904,0.6668880933055363,8837321.350798624,3596.343626517163,1983.8408428453731,24847352786.49716,0.2771580367617036,1.0,0.7692973667816034
"(2500.0, 2550.0]",2500.0084,2549.8644,329,1.0,1.0,1.0,1.0,0.8541412030401546,0.24974467214594384,0.41119608047858425,0.6111359960304242,8847097.21606648,3676.7131184516807,1991.4339333097416,24409661800.4274,0.2933743809477333,1.0,0.7641521787995951
"(2200.0, 2250.0]",2200.1124,2249.9684,329,1.0,1.0,1.0,1.0,0.44024537465305214,0.38385137163315936,0.8467092036935465,0.11352757920966984,7086540.043496251,3130.119302706338,1695.1068291535573,16719823953.455042,0.300745065734449,1.0,0.748944691969696
"(3000.0, 3050.0]",3000.0884,3049.9444,329,1.0,1.0,1.0,1.0,0.5366195846893935,0.39250449529773507,0.7,0.18208563966486013,9025910.401416808,3758.941607182628,2157.679613606382,27921597458.96694,0.2502008846317988,1.0,0.7424454331463154
"(3050.0, 3100.0]",3050.0964,3099.9524,329,1.0,1.0,1.0,1.0,0.4956929679761316,0.3941022564147905,0.6408513576416192,0.19684190153737074,9211849.21936998,3720.8944956638197,2135.2411147405737,28383495014.092182,0.25606223363629416,1.0,0.7215463042035807
"(2600.0, 2650.0]",2600.0244,2649.8804,329,1.0,1.0,0.993920972644377,0.993920972644377,0.7038997651882946,0.3000157541924188,0.3977765546245976,0.6159124290884987,9033765.563023468,3693.2052577751915,2059.0397683050965,26055544861.394608,0.2764511684639766,0.9969604863221884,0.7131351766400861
"(2700.0, 2750.0]",2700.0404,2749.8964,329,1.0,1.0,1.0,1.0,0.7416654298372957,0.33501898330433993,0.3608950811532867,0.6430365449585407,9083690.466022532,3681.711909717819,2080.426246651767,27052599461.231113,0.2690814086410977,1.0,0.7082431684755948
