PROPERTY,NON_NULL,FILL_RATE,MEAN,MEDIAN,STD,MIN,P05,P95,MAX
RHOB_KG_M3,329,1.0,2405.3334001367784,2397.9001045,41.48233075620148,2337.4204636,2368.42947008,2468.4189796799997,2663.2213593
VP_MPS,329,1.0,3503.396853467311,3451.5216779437005,257.9308956353825,3196.1348210786855,3235.482317833751,3948.187860980908,4834.351303274111
VS_MPS,329,1.0,1837.686947756629,1812.361919401577,116.76421033948955,1725.7784324818977,1742.4243047183952,2023.645719623967,2531.726028822247
AI,329,1.0,8432464.48628456,8275087.69865733,718801.4951051242,7565991.369969208,7679303.720166326,9814202.480243448,12019530.747447489
SI,329,1.0,4423414.124987248,4340302.192518473,344777.7111199608,4100102.045692134,4152894.1314621186,5069047.877264879,6342152.04251258
VP_VS_RATIO,329,1.0,1.9064726086319266,1.8897404207648227,0.07213112421560836,1.7072096039112812,1.8179667195535052,2.02651780264983,2.133574410376536
POISSON_RATIO,329,1.0,0.3085672861212938,0.3055321330365302,0.019501237417757982,0.23884402139015157,0.28308033077246175,0.339061342011387,0.35923977288816167
SHEAR_MODULUS_PA,329,1.0,8168258149.270104,7881343813.604383,1273986921.661743,7091396246.646373,7225933380.742138,10320621334.920706,15486480758.279196
BULK_MODULUS_PA,329,1.0,18832760557.45673,18029104158.75785,3671336590.6482563,14206035860.250326,15030486629.92201,26091295287.719864,35818491892.67855
YOUNG_MODULUS_PA,329,1.0,21375095136.3522,20635800123.094654,3321281636.386091,18429097118.905544,18835430115.655422,26993860496.41754,40607141891.10032
VSH_GR_LINEAR,329,1.0,0.5755305132426306,0.5980919383534059,0.09953677919091579,0.07732855626137695,0.39955470780391034,0.665643859378113,0.692663820332199
HOMOGENEITY_SCORE,329,1.0,0.7697820345065555,0.8812114516337551,0.19689122947113621,0.3589864969610425,0.3614095350556438,0.9720896019261476,0.9805739936128688
ANOMALY_SCORE,329,1.0,0.19620363590772918,0.19563896891733423,0.09382227402398068,0.042515040087290956,0.05915975297096968,0.3140478067368665,0.6726157820234698
RESERVOIR_QUALITY_SCORE,329,1.0,0.46666421530482693,0.46101574742548934,0.04590801221384003,0.35388734128250127,0.4085314589352196,0.5366759589636222,0.6458692456692829
