COLUMN,DTYPE,NON_NULL_COUNT,NULL_COUNT,FILL_RATE
WELL,string,18731,0,1.0
DEPTH,float64,18731,0,1.0
GR,float64,18666,65,0.9965298168811062
RHOB,float64,7800,10931,0.41642197426725747
DTC,float64,18199,532,0.9715978858576692
DTS,float64,15252,3479,0.8142651219902834
NPOR,float64,7835,10896,0.4182905344082003
RDEP,float64,18567,164,0.9912444610538679
RMED,float64,18524,207,0.9889488014521381
CALI,float64,7842,10889,0.4186642464363889
BS,float64,18674,57,0.9969569163418931
DCALC,float64,7842,10889,0.4186642464363889
QC_FLAG_COUNT,int64,18731,0,1.0
QC_HAS_ANY_FLAG,bool,18731,0,1.0
LITHOLOGY_CONFIDENCE,float64,7841,10890,0.4186108590037905
LITHOLOGY_CLASS,float64,7840,10891,0.41855747157119216
ROPA,float64,18680,51,0.9972772409374833
ROP,float64,18664,67,0.9964230420159095
PEF,float64,7800,10931,0.41642197426725747
DRHO,float64,7846,10885,0.41887779616678233
X_LOC,float64,18567,164,0.9912444610538679
Y_LOC,float64,18567,164,0.9912444610538679
Z_LOC,float64,18567,164,0.9912444610538679
FLAG_GR_LOW,bool,18731,0,1.0
FLAG_GR_HIGH,bool,18731,0,1.0
FLAG_GR_ZERO,bool,18731,0,1.0
FLAG_GR_SUSPICIOUS,bool,18731,0,1.0
FLAG_RHOB_LOW,bool,18731,0,1.0
FLAG_RHOB_HIGH,bool,18731,0,1.0
FLAG_RHOB_ZERO,bool,18731,0,1.0
FLAG_RHOB_SUSPICIOUS,bool,18731,0,1.0
FLAG_DTC_LOW,bool,18731,0,1.0
FLAG_DTC_HIGH,bool,18731,0,1.0
FLAG_DTC_ZERO,bool,18731,0,1.0
FLAG_DTC_SUSPICIOUS,bool,18731,0,1.0
FLAG_DTS_LOW,bool,18731,0,1.0
FLAG_DTS_HIGH,bool,18731,0,1.0
FLAG_DTS_ZERO,bool,18731,0,1.0
FLAG_DTS_SUSPICIOUS,bool,18731,0,1.0
FLAG_NPOR_LOW,bool,18731,0,1.0
FLAG_NPOR_HIGH,bool,18731,0,1.0
FLAG_NPOR_ZERO,bool,18731,0,1.0
FLAG_NPOR_SUSPICIOUS,bool,18731,0,1.0
FLAG_RDEP_LOW,bool,18731,0,1.0
FLAG_RDEP_HIGH,bool,18731,0,1.0
FLAG_RDEP_ZERO,bool,18731,0,1.0
FLAG_RDEP_SUSPICIOUS,bool,18731,0,1.0
FLAG_RMED_LOW,bool,18731,0,1.0
FLAG_RMED_HIGH,bool,18731,0,1.0
FLAG_RMED_ZERO,bool,18731,0,1.0
FLAG_RMED_SUSPICIOUS,bool,18731,0,1.0
FLAG_CALI_LOW,bool,18731,0,1.0
FLAG_CALI_HIGH,bool,18731,0,1.0
FLAG_CALI_ZERO,bool,18731,0,1.0
FLAG_CALI_SUSPICIOUS,bool,18731,0,1.0
FLAG_BS_LOW,bool,18731,0,1.0
FLAG_BS_HIGH,bool,18731,0,1.0
FLAG_BS_ZERO,bool,18731,0,1.0
FLAG_BS_SUSPICIOUS,bool,18731,0,1.0
FLAG_GR_IQR_OUTLIER,bool,18731,0,1.0
FLAG_RHOB_IQR_OUTLIER,bool,18731,0,1.0
FLAG_DTC_IQR_OUTLIER,bool,18731,0,1.0
FLAG_DTS_IQR_OUTLIER,bool,18731,0,1.0
FLAG_NPOR_IQR_OUTLIER,bool,18731,0,1.0
FLAG_RDEP_IQR_OUTLIER,bool,18731,0,1.0
FLAG_RMED_IQR_OUTLIER,bool,18731,0,1.0
FLAG_CALI_IQR_OUTLIER,bool,18731,0,1.0
FLAG_BS_IQR_OUTLIER,bool,18731,0,1.0
ROBUST_Z_GR,float64,18666,65,0.9965298168811062
FLAG_GR_ROBUST_Z_OUTLIER,bool,18731,0,1.0
ROBUST_Z_RHOB,float64,7800,10931,0.41642197426725747
FLAG_RHOB_ROBUST_Z_OUTLIER,bool,18731,0,1.0
ROBUST_Z_DTC,float64,18199,532,0.9715978858576692
FLAG_DTC_ROBUST_Z_OUTLIER,bool,18731,0,1.0
ROBUST_Z_DTS,float64,15252,3479,0.8142651219902834
FLAG_DTS_ROBUST_Z_OUTLIER,bool,18731,0,1.0
ROBUST_Z_NPOR,float64,7835,10896,0.4182905344082003
FLAG_NPOR_ROBUST_Z_OUTLIER,bool,18731,0,1.0
ROBUST_Z_RDEP,float64,18567,164,0.9912444610538679
FLAG_RDEP_ROBUST_Z_OUTLIER,bool,18731,0,1.0
ROBUST_Z_RMED,float64,18524,207,0.9889488014521381
FLAG_RMED_ROBUST_Z_OUTLIER,bool,18731,0,1.0
ROBUST_Z_CALI,float64,7842,10889,0.4186642464363889
FLAG_CALI_ROBUST_Z_OUTLIER,bool,18731,0,1.0
ROBUST_Z_BS,float64,18674,57,0.9969569163418931
FLAG_BS_ROBUST_Z_OUTLIER,bool,18731,0,1.0
FLAG_WASHOUT_DCALC_GT_1IN,bool,18731,0,1.0
FLAG_CLEAN_ROCK_GR_LOW,bool,18731,0,1.0
FLAG_SHALEY_GR_HIGH,bool,18731,0,1.0
FLAG_CLEAN_RESISTIVE_ZONE,bool,18731,0,1.0
FLAG_RHOB_SUSPICIOUS_WITH_WASHOUT,bool,18731,0,1.0
FLAG_HIGH_DTC_HIGH_DTS,bool,18731,0,1.0
