CURVE,NON_NULL_COUNT,NULL_COUNT,FILL_RATE,NULL_RATE,UNIQUE_VALUES,TOTAL_ROWS,UNIT,DESCRIPTION
DEPT,18731,0,1.0,0.0,18731,18731,m,DEPTH
ROPA,18680,51,0.9972772409374833,0.0027227590625166836,18673,18731,_,ROPA
BS,18674,57,0.9969569163418931,0.0030430836581068817,5,18731,in,BS
GR,18666,65,0.9965298168811062,0.0034701831188938123,18641,18731,gAPI,GR
ROP,18664,67,0.9964230420159095,0.003576957984090545,18626,18731,m/h,ROP
DEPTH_MD,18567,164,0.9912444610538679,0.008755538946132081,18567,18731,_,DEPTH_MD
RDEP,18567,164,0.9912444610538679,0.008755538946132081,18559,18731,ohm.m,RDEP
X_LOC,18567,164,0.9912444610538679,0.008755538946132081,8708,18731,_,x_loc
Y_LOC,18567,164,0.9912444610538679,0.008755538946132081,875,18731,_,y_loc
Z_LOC,18567,164,0.9912444610538679,0.008755538946132081,18567,18731,_,z_loc
RMED,18524,207,0.9889488014521381,0.011051198547861834,18516,18731,ohm.m,RMED
DTC,18199,532,0.9715978858576692,0.028402114142330896,18172,18731,us/ft,DTC
DTS,15252,3479,0.8142651219902834,0.18573487800971653,15223,18731,us/ft,DTS
DRHO,7846,10885,0.41887779616678233,0.5811222038332177,7839,18731,g/cm3,DRHO
CALI,7842,10889,0.4186642464363889,0.5813357535636111,7741,18731,in,CALI
LITHOLOGY_CONFIDENCE,7841,10890,0.4186108590037905,0.5813891409962095,2,18731,_,LITHOLOGY_CONFIDENCE
LITHOLOGY_CLASS,7840,10891,0.41855747157119216,0.5814425284288078,6,18731,_,LITHOLOGY_CLASS
NPHI,7835,10896,0.4182905344082003,0.5817094655917997,7832,18731,m3/m3,NPHI
PEF,7800,10931,0.41642197426725747,0.5835780257327425,7796,18731,b/e,PEF
RHOB,7800,10931,0.41642197426725747,0.5835780257327425,7778,18731,g/cm3,RHOB
