,NON_NULL_COUNT,NULL_COUNT,FILL_RATE,NULL_RATE,TOTAL_ROWS
RHOB,7800,10931,0.41642197426725747,0.5835780257327425,18731
PEF,7800,10931,0.41642197426725747,0.5835780257327425,18731
NPOR,7835,10896,0.4182905344082003,0.5817094655917997,18731
LITHOLOGY_CLASS,7840,10891,0.41855747157119216,0.5814425284288078,18731
LITHOLOGY_CONFIDENCE,7841,10890,0.4186108590037905,0.5813891409962095,18731
CALI,7842,10889,0.4186642464363889,0.5813357535636111,18731
DRHO,7846,10885,0.41887779616678233,0.5811222038332177,18731
DTS,15252,3479,0.8142651219902834,0.18573487800971653,18731
DTC,18199,532,0.9715978858576692,0.028402114142330896,18731
RMED,18524,207,0.9889488014521381,0.011051198547861834,18731
Z_LOC,18567,164,0.9912444610538679,0.008755538946132081,18731
RDEP,18567,164,0.9912444610538679,0.008755538946132081,18731
X_LOC,18567,164,0.9912444610538679,0.008755538946132081,18731
Y_LOC,18567,164,0.9912444610538679,0.008755538946132081,18731
ROP,18664,67,0.9964230420159095,0.003576957984090545,18731
GR,18666,65,0.9965298168811062,0.0034701831188938123,18731
BS,18674,57,0.9969569163418931,0.0030430836581068817,18731
ROPA,18680,51,0.9972772409374833,0.0027227590625166836,18731
WELL,18731,0,1.0,0.0,18731
DEPTH,18731,0,1.0,0.0,18731
