WELL,FILE,N_ROWS,N_CURVES,HAS_DTS,HAS_DTC,HAS_RHOB,HAS_GR,CURVES,DTS_FILL_RATE,DTC_FILL_RATE,RHOB_FILL_RATE,GR_FILL_RATE,RDEP_FILL_RATE,NPHI_FILL_RATE,CALI_FILL_RATE,BS_FILL_RATE,SELECTION_SCORE
TFT-4,TFT-4.las,18731,20,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, ROPA, ROP, RDEP, RMED, DTS, DTC, NPHI, PEF, GR, RHOB, DRHO, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.8142651219902834,0.9715978858576692,0.41642197426725747,0.9965298168811062,0.9912444610538679,0.4182905344082003,0.4186642464363889,0.9969569163418931,8.835139608136245
AAM-17,AAM-17.las,15388,21,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, MUDWEIGHT, ROP, RDEP, RSHA, RMED, RMIC, SP, DTS, DTC, NPHI, GR, RHOB, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.787561736417988,0.7908760072783988,0.5359370938393554,0.9678970626462179,0.9756303613205095,0.5342474655575773,0.7823628801663634,0.978684689368339,8.534962308292176
ALR-11,ALR-11.las,24803,21,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, ROPA, ROP, RDEP, RMED, RMIC, DTS, DTC, NPHI, PEF, GR, RHOB, DRHO, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.851832439624239,0.8590896262548885,0.21037777688182882,0.99854856267387,0.9991936459299279,0.21650606781437728,0.21078095391686488,0.9999596822964963,8.395839212998427
ALR-3,ALR-3.las,18710,22,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, ROPA, ROP, RDEP, RMED, RMIC, SP, DTS, DTC, NPHI, PEF, GR, RHOB, DRHO, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.684233030464992,0.6879208979155532,0.693372528059861,0.9984500267236772,0.9980224478888295,0.7021378941742383,0.6926777124532336,0.9998396579369321,8.180224478888295
ALR-2,ALR-2.las,16967,21,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, RDEP, RSHA, RMED, RXO, RMIC, SP, DTS, DTC, NPHI, GR, RHOB, DRHO, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.6847409677609477,0.6847409677609477,0.6707726763717805,0.9944008958566629,0.9968762892674015,0.6688866623445512,0.6728944421524136,0.9989391171096835,8.12600931219426
ISL-8,ISL-8.las,28434,22,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, ROPA, ROP, RDEP, RSHA, RMED, DTS, DTC, NPHI, PEF, GR, RHOB, DRHO, SGR, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.5966448617851867,0.9933530280649926,0.3435323907997468,0.9968347752690441,0.9975029893789126,0.34500949567419287,0.35309840331996906,0.9983822184708447,7.65133291130337
ALR-13,ALR-13.las,21948,20,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, ROPA, ROP, RDEP, RMED, DTS, DTC, NPHI, PEF, GR, RHOB, DRHO, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.6073446327683616,0.6072535082923273,0.604018589393111,0.9986786950975032,0.997949699289229,0.6147257153271368,0.6124931656642975,0.9999544377619829,7.4558957535994175
ISL-14,ISL-14.las,26343,20,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, ROPA, ROP, RDEP, RMED, DTS, DTC, NPHI, PEF, GR, RHOB, DRHO, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.5186577079300004,0.8108795505447367,0.5575674752306116,0.9993926280226246,0.9823862126561136,0.5614015108377938,0.568158524086095,0.9853471510458186,7.311961431879437
TFT-3,TFT-3.las,24730,23,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, DCAL, RDEP, RSHA, RMED, RXO, RMIC, SP, DTS, DTC, NPHI, PEF, GR, RHOB, DRHO, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.4709260008087343,0.7414071977355439,0.7306510311362717,0.976668014557218,0.9933279417711282,0.7281439547108775,0.7307723412858876,0.9867771936918722,7.268742418115649
HR-16,HR-16.las,17304,24,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, DCAL, ROP, RDEP, RSHA, RMED, RMIC, SP, DTS, DTC, NPHI, PEF, GR, RHOB, DRHO, SGR, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.5917706888580675,0.610321312991216,0.6085298196948682,0.923659269533056,0.933830328247804,0.605755894590846,0.6099167822468793,0.9998844197873324,7.254045307443366
ISL-15,ISL-15.las,22969,21,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, DCAL, ROPA, ROP, RDEP, RMED, DTS, DTC, NPHI, PEF, GR, RHOB, DRHO, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.4903565675475641,0.8302059297313771,0.49928164047194046,0.9996517044712439,0.9832382776786103,0.0975662849928164,0.5092515999825852,0.9831512037964213,7.09364796029431
HR-11,HR-11.las,15556,22,True,True,True,True,"DEPT, LITHOLOGY_CONFIDENCE, LITHOLOGY_CLASS, CALI, BS, DCAL, ROPA, ROP, RDEP, RMED, RMIC, DTS, DTC, NPHI, PEF, GR, RHOB, DRHO, DEPTH_MD, X_LOC, Y_LOC, Z_LOC",0.41790948830033425,0.7559784006171252,0.7240293134481872,0.999100025713551,0.9968500899974286,0.72904345590126,0.7539856004114168,0.9989071740807406,7.045512985343275
